# Tech tree (M3-T6): 90 common nodes + 6 faction branch nodes (faction=1 → never self-researchable).
# cost: coreItemId:count;... (empty cost on common nodes = unlocked at start).
id,zh,en,domain,prereqs,cost,recipes,buildings,faction
assault_ops,强袭作战,Assault operations,defense,combat_bots;rocketry_2,military_data_core:4,make_assault_pod,,
branch_superconductor_grid,超导线材,Superconductor wire,faction_silent,,,alloy_superconductor_alloy;form_superconductor_alloy_mesh;form_superconductor_alloy_wire,,1
branch_superconductor_grid_2,超导电网塔,Superconducting pylon,faction_silent,branch_superconductor_grid,,make_b_superconductor_pylon,superconductor_pylon,1
branch_superconductor_grid_3,超导电池阵,Superconducting bank,faction_silent,branch_superconductor_grid_2,,make_b_superconductor_battery,superconductor_battery,1
branch_superconductor_grid_4,磁约束节点,Magnetic confinement node,faction_silent,branch_superconductor_grid_3,,make_b_magnetic_node,magnetic_node,1
branch_superconductor_grid_5,轨道能束(能力),Orbital power beam (ability),faction_silent,branch_superconductor_grid_4,,,,1
branch_phase_armor,相变凝胶精炼,Phase gel refining,faction_silent,,,alloy_phase_composite;make_phase_gel_refined,,1
branch_phase_armor_2,相变装甲板,Phase armor plate,faction_silent,branch_phase_armor,,make_phase_armor_plate,,1
branch_phase_armor_3,重型城墙,Heavy wall,faction_silent,branch_phase_armor_2,,make_b_heavy_wall,heavy_wall,1
branch_phase_armor_4,装甲战斗蛛,Armored combat bot,faction_silent,branch_phase_armor_3,,make_armored_combat_bot,,1
branch_phase_armor_5,热汲护盾,Heat-sink shield,faction_silent,branch_phase_armor_4,,make_b_heat_sink_shield,heat_sink_shield,1
branch_bio_refining,菌金催化,Myco catalysis,faction_merchant,,,alloy_bio_composite;make_myco_catalyst,,1
branch_bio_refining_2,菌木速生架,Myco growth rack,faction_merchant,branch_bio_refining,,make_b_myco_rack,myco_rack,1
branch_bio_refining_3,蛋白高塔,Protein tower,faction_merchant,branch_bio_refining_2,,make_b_protein_tower,protein_tower,1
branch_bio_refining_4,生态穹顶,Eco dome,faction_merchant,branch_bio_refining_3,,make_b_eco_dome,eco_dome,1
branch_bio_refining_5,孢子疫苗,Spore vaccine,faction_merchant,branch_bio_refining_4,,make_spore_vaccine,,1
branch_orbital_logistics,轨道货轮,Orbital freighter,faction_merchant,,,make_orbital_freighter,,1
branch_orbital_logistics_2,自动报价单(能力),Auto quotes (ability),faction_merchant,branch_orbital_logistics,,,,1
branch_orbital_logistics_3,行情雷达(能力),Market radar (ability),faction_merchant,branch_orbital_logistics_2,,,,1
branch_orbital_logistics_4,保税仓,Bonded warehouse,faction_merchant,branch_orbital_logistics_3,,make_b_bonded_warehouse,bonded_warehouse,1
branch_orbital_logistics_5,航线保险(能力),Route insurance (ability),faction_merchant,branch_orbital_logistics_4,,,,1
branch_fast_reactor,快堆堆芯,Fast reactor core,faction_redbanner,,,alloy_uranium_core_alloy;make_compact_reactor_core,,1
branch_fast_reactor_2,紧凑快堆,Compact fast reactor,faction_redbanner,branch_fast_reactor,,make_b_compact_reactor,compact_reactor,1
branch_fast_reactor_3,核电池,Nuclear cell,faction_redbanner,branch_fast_reactor_2,,make_nuclear_cell,,1
branch_fast_reactor_4,同位素加热棒,Isotope heater,faction_redbanner,branch_fast_reactor_3,,make_b_isotope_heater;make_isotope_rod,isotope_heater,1
branch_fast_reactor_5,核动力上面级,Nuclear upper stage,faction_redbanner,branch_fast_reactor_4,,make_nuclear_upper_stage,,1
branch_swarm_tactics,蜂群协议(能力),Swarm protocol (ability),faction_redbanner,,,,,1
branch_swarm_tactics_2,自爆蛛,Breacher bot,faction_redbanner,branch_swarm_tactics,,make_suicide_bot,,1
branch_swarm_tactics_3,干扰无人机,Jammer drone,faction_redbanner,branch_swarm_tactics_2,,make_jammer_drone,,1
branch_swarm_tactics_4,前线装配巢,Forward assembly nest,faction_redbanner,branch_swarm_tactics_3,,make_b_forward_nest,forward_nest,1
branch_swarm_tactics_5,震荡炮,Shock cannon,faction_redbanner,branch_swarm_tactics_4,,make_b_shock_cannon,shock_cannon,1
